date,latitude,longitude,rainfall_mm
2019-07-23,27.5,83.5,32.32978820800781
2019-07-23,27.5,83.75,72.01517486572266
2019-07-23,27.5,84.0,72.83467864990234
2019-07-23,27.5,84.25,66.48908996582031
2019-07-23,27.5,84.5,48.91354751586914
2019-07-23,27.5,84.75,67.34292602539062
2019-07-23,27.5,85.0,67.34292602539062
2019-07-23,27.5,85.25,67.34292602539062
2019-07-23,27.5,85.5,67.34292602539062
2019-07-23,27.5,85.75,67.34292602539062
2019-07-23,27.5,86.0,67.34292602539062
2019-07-23,27.5,86.25,67.34292602539062
2019-07-23,27.5,86.5,67.34292602539062
2019-07-23,27.5,86.75,67.34292602539062
2019-07-23,27.5,87.0,67.34292602539062
2019-07-23,27.5,87.25,67.34292602539062
2019-07-23,27.5,87.5,67.34292602539062
2019-07-23,27.5,87.75,67.34292602539062
2019-07-23,27.5,88.0,67.34292602539062
2019-07-23,27.5,88.25,98.45010375976562
2019-07-23,27.5,88.5,63.402523040771484
2019-07-24,24.5,83.5,8.573446273803711
2019-07-24,24.5,83.75,10.381866455078125
2019-07-24,24.5,84.0,1.3993773460388184
2019-07-24,24.5,84.25,5.6875176429748535
2019-07-24,24.5,84.5,13.761614799499512
2019-07-24,24.5,84.75,15.769332885742188
2019-07-24,24.5,85.0,60.54686737060547
2019-07-24,24.5,85.25,67.13213348388672
2019-07-24,24.5,85.5,28.954010009765625
2019-07-24,24.5,85.75,25.616710662841797
2019-07-24,24.5,86.0,43.2172966003418
2019-07-24,24.5,86.25,15.826116561889648
2019-07-24,24.5,86.5,11.357988357543945
2019-07-24,24.5,86.75,36.776092529296875
2019-07-24,24.5,87.0,22.672378540039062
2019-07-24,24.5,87.25,16.079967498779297
2019-07-24,24.5,87.5,20.36947250366211
2019-07-24,24.5,87.75,40.8498649597168
2019-07-24,24.5,88.0,34.08224105834961
2019-07-24,24.5,88.25,35.277870178222656
2019-07-24,24.5,88.5,33.64670944213867
2019-07-24,24.75,83.5,8.89490795135498
2019-07-24,24.75,83.75,21.493526458740234
2019-07-24,24.75,84.0,28.723587036132812
2019-07-24,24.75,84.25,11.444748878479004
2019-07-24,24.75,84.5,22.921279907226562
2019-07-24,24.75,84.75,20.65326690673828
2019-07-24,24.75,85.0,45.3585319519043
2019-07-24,24.75,85.25,48.0894889831543
2019-07-24,24.75,85.5,77.36395263671875
2019-07-24,24.75,85.75,60.87710189819336
2019-07-24,24.75,86.0,43.029720306396484
2019-07-24,24.75,86.25,45.57146072387695
2019-07-24,24.75,86.5,33.413394927978516
2019-07-24,24.75,86.75,23.391948699951172
2019-07-24,24.75,87.0,19.810726165771484
2019-07-24,24.75,87.25,19.358938217163086
2019-07-24,24.75,87.5,27.654478073120117
2019-07-24,24.75,87.75,36.21495056152344
2019-07-24,24.75,88.0,36.46659851074219
2019-07-24,24.75,88.25,8.008306503295898
2019-07-24,24.75,88.5,8.008306503295898
2019-07-24,25.0,83.5,8.008306503295898
2019-07-24,25.0,83.75,20.299001693725586
2019-07-24,25.0,84.0,27.918264389038086
2019-07-24,25.0,84.25,15.509660720825195
2019-07-24,25.0,84.5,19.940364837646484
2019-07-24,25.0,84.75,18.183631896972656
2019-07-24,25.0,85.0,40.78815841674805
2019-07-24,25.0,85.25,37.987735748291016
2019-07-24,25.0,85.5,23.7373104095459
2019-07-24,25.0,85.75,72.11888885498047
2019-07-24,25.0,86.0,75.84481811523438
2019-07-24,25.0,86.25,61.73528289794922
2019-07-24,25.0,86.5,26.65673828125
2019-07-24,25.0,86.75,26.43714141845703
2019-07-24,25.0,87.0,1.2228742837905884
2019-07-24,25.0,87.25,37.07291030883789
2019-07-24,25.0,87.5,111.84931945800781
2019-07-24,25.0,87.75,42.841678619384766
2019-07-24,25.0,88.0,49.38139724731445
2019-07-24,25.0,88.25,50.5462532043457
2019-07-24,25.0,88.5,12.392282485961914
2019-07-24,25.25,83.5,12.392282485961914
2019-07-24,25.25,83.75,7.536465167999268
2019-07-24,25.25,84.0,5.505578994750977
2019-07-24,25.25,84.25,0.8831043243408203
2019-07-24,25.25,84.5,3.5592355728149414
2019-07-24,25.25,84.75,8.35477066040039
2019-07-24,25.25,85.0,11.965703964233398
2019-07-24,25.25,85.25,24.225460052490234
2019-07-24,25.25,85.5,17.482707977294922
2019-07-24,25.25,85.75,32.159149169921875
2019-07-24,25.25,86.0,23.3409481048584
2019-07-24,25.25,86.25,12.163873672485352
2019-07-24,25.25,86.5,13.028022766113281
2019-07-24,25.25,86.75,75.0
2019-07-24,25.25,87.0,25.883544921875
2019-07-24,25.25,87.25,34.219303131103516
2019-07-24,25.25,87.5,68.22186279296875
2019-07-24,25.25,87.75,56.87632369995117
2019-07-24,25.25,88.0,53.8879280090332
2019-07-24,25.25,88.25,54.963356018066406
2019-07-24,25.25,88.5,49.6099967956543
2019-07-24,25.5,83.5,8.367652893066406
2019-07-24,25.5,83.75,3.4044528007507324
2019-07-24,25.5,84.0,4.396606922149658
2019-07-24,25.5,84.25,2.6587820053100586
2019-07-24,25.5,84.5,1.3165937662124634
2019-07-24,25.5,84.75,29.612812042236328
2019-07-24,25.5,85.0,20.869680404663086
2019-07-24,25.5,85.25,20.341381072998047
2019-07-24,25.5,85.5,26.230628967285156
2019-07-24,25.5,85.75,28.521209716796875
2019-07-24,25.5,86.0,17.563547134399414
2019-07-24,25.5,86.25,17.087242126464844
2019-07-24,25.5,86.5,4.9928412437438965
2019-07-24,25.5,86.75,25.309938430786133
2019-07-24,25.5,87.0,24.648672103881836
2019-07-24,25.5,87.25,9.680800437927246
2019-07-24,25.5,87.5,27.66204833984375
2019-07-24,25.5,87.75,43.76533126831055
2019-07-24,25.5,88.0,50.14109802246094
2019-07-24,25.5,88.25,46.361900329589844
2019-07-24,25.5,88.5,54.87248992919922
2019-07-24,25.75,83.5,1.757985234260559
2019-07-24,25.75,83.75,8.463467597961426
2019-07-24,25.75,84.0,11.230486869812012
